,c1,c2,c3,c4,build_count_mod,josm_edits,road_km_mod,acct_age,mapping_freq,user_name,validations,kmeansClassc1c2,kmeansClassc1c3,kmeansClassc1c4,kmeansClassc2c3,kmeansClassc2c4,kmeansClassc3c4
0,-0.270510523,0.012137214,-0.075802941,0.070751226,69,0,251.7611037,918,0,ycartwhelen,450,0,0,0,0,2,0
1,-0.05693092,0.664105688,-1.101973938,0.062326951,1,0,11.12256168,454,0,Katelyn Woolheater,1610,0,0,0,0,2,0
2,-0.24059386,0.17308987,-0.339902922,0.022510067,12,24,64.73028797,1235,0,miniwark,1542,0,0,0,0,2,0
3,-0.160274782,0.110082489,-0.117218255,0.026060614,225,132,274.7235331,3481,0,Polyglot,2642,0,0,0,0,2,0
4,0.589283411,1.895994147,1.523298097,0.202561011,5686,521,295.6971337,1443,0,Suthakaran,278,0,0,0,0,2,0
5,-0.259928346,-0.011214129,-0.079140866,0.007654729,11,79,174.0504123,881,0,ArticCynda,410,0,0,0,0,2,0
6,-0.368421563,-0.054705655,0.019708962,-0.002769193,0,1,0.292077911,2108,0,DanJSY,307,0,0,0,0,2,0
7,-0.131236174,0.341328494,-0.550590192,-0.022206651,76,126,20.33613117,233,0,dutch_validater,455,0,0,0,0,2,0
8,-0.098792268,0.380649985,-0.704104985,0.110048128,12,0,289.9093784,418,0,Nedran,982,0,0,0,0,2,0
9,0.642346818,0.879336321,0.597016188,-0.35126906,2692,1235,294.5810769,542,0,Eric Xavier,389,0,0,0,0,2,0
10,0.257328405,-0.11391786,0.066448334,-0.307199545,189,941,607.9325369,993,0,fifiQn,288,0,0,0,0,2,0
11,0.691477304,0.650254113,0.108292831,-0.430223499,1706,1358,446.4834169,554,0,chandani munasinghe,793,0,0,0,0,2,0
12,0.060321461,0.345613864,-0.667805531,-0.121327933,7,403,174.0918337,645,0,Herbert oscar ngowoko,1479,0,0,0,0,2,0
13,-0.034589523,0.377771775,-0.618669136,0.179877533,169,0,539.1375216,269,0,Ken Schafer,596,0,0,0,0,2,0
14,0.576928726,-0.10186911,-0.117830596,-0.141859841,203,1064,1480.604405,624,0,montshyqn,548,0,0,0,0,2,0
15,-0.285963242,0.102607216,-0.233976023,0.025087137,2,0,53.84710811,715,0,SReed,655,0,0,0,0,2,0
16,-0.320209088,-0.020575776,-0.030860768,0.01291349,25,21,84.47003374,2828,0,eireidium,910,0,0,0,0,2,0
17,0.174386478,0.538413734,-0.066347297,-0.148377245,1123,566,150.3268218,646,0,mackie dee,893,0,0,0,0,2,0
18,4.341564588,10.10189944,7.562485164,0.516816689,28929,2974,9.960796168,1009,0,Raph Reyes,762,2,1,2,2,0,0
19,6.12500706,-2.316807906,0.082830464,2.776135407,608,3919,18980.58016,871,0,sophs74,887,1,1,2,0,2,0
20,0.618955063,0.543696664,0.106809671,0.166325667,1681,694,1534.857806,2453,0,m902,3242,0,0,0,0,2,0
